"x"
"1";"26 ; 14;6;"
"2";"27 ; 17;2;"
"3";"28 ; 18;3;"
"4";"29 ; 15;11;"
"5";"30 ; 17;6;"
"6";"31 ; 16;7;"
"7";"1 ; 15;3;"
"8";"2 ; 20;3;"
"9";"3 ; 22;2;"
"10";"4 ; 20;7;"
"11";"5 ; 20;5;"
"12";"6 ; 16;6;"
"13";"7 ; 16;2;"
"14";"8 ; 19;1;"
"15";"9 ; 20;1;"
"16";"10 ; 17;5;"
"17";"11 ; 13;5;"
"18";"12 ; 16;2;"
"19";"13 ; 9;4;"
"20";"14 ; 13;2;"
"21";"15 ; 13;5;"
"22";"16 ; 13;2;"
"23";"17 ; 11;1;"
"24";"18 ; 16;1;"
"25";"19 ; 20;1;"
"26";"20 ; 20;5;"
"27";"21 ; 15;5;"
"28";"22 ; 18;3;"
"29";"23 ; 15;7;"
"30";"24 ; 10;2;"
"31";"25 ; 11;0;"
"32";"26 ; --6;"
"33";"27 ; 11;6;"
"34";"28 ; 13;5;"
"35";"29 ; 11;1;"
"36";"30 ; 12;1;"
"37";"1 ; 15;2;"
"38";"2 ; 16;2;"
"39";"3 ; 16;3;"
"40";"4 ; 17;4;"
"41";"5 ; 16;4;"
"42";"6 ; 16;6;"
